算法名,参数名,最小值,最大值,最少选择,最多选择,依赖于
Unarylinear,plan*,0,,,,planflag*
UnarylinearTime,plan*,0,,,,planflag*
Binarylinear,econamelist,,,2,2,
Binarylinear,plan1*,0,,,,
Binarylinear,plan2*,0,,,,
LogarithmTime,plan*,0,,,,planflag*
Logarithm,plan*,0,,,,planflag*
GrowthTime,plan*,0,,,,planflag*
Growth,plan*,0,,,,planflag*
Exponent,plan*,0,,,,planflag*
ExponentTime,plan*,0,,,,planflag*
ESQRM,quatile,0,1,,,
ESQRM,econamelist,,,1,5,
QuantileRegression,quatile,0,1,,,
QuantileRegression,econamelist,,,1,5,
BPNN,hidden*,1,,1,,
BPNN,learningrate*,1.00E-10,0.1,,,
BPNN,epoch*,500,,,,
BPNNindustry,hidden*,1,,1,,
BPNNindustry,learningrate*,1.00E-10,0.1,,,
BPNNindustry,epoch*,500,,,,
FER,timestep*,2,,,,
FLR,timestep*,2,,,,
GBDT,timestep,2,,,,
GBDT,LearningRate*,1.00E-10,0.5,,,
GBDT,MaxDepth*,1,,,,
GBDT,NumberofEstimators*,10,,,,
GM,timestep*,2,,,,
GPRM,timestep*,2,,,,
Increase,rate,0,,,,
LSTMpre,hidden_layer*,1,,,,
LSTMpre,learningrate*,1.00E-10,0.1,,,
LSTMpre,epoch*,500,,,,
LSTMpre,timestep,2,,,,
LSTMpre,hidden_size*,4,,,,
RandomForest,timestep,2,,,,
RandomForest,n_estimators*,5,,,,
RFIndustry,timestep*,2,,,,
RFIndustry,n_estimators*,5,,,,
RNNpre,hidden_layer*,1,,,,
RNNpre,learningrate*,1.00E-10,0.1,,,
RNNpre,epoch*,500,,,,
RNNpre,timestep,2,,,,
RNNpre,hidden_size,4,,,,
SVM,timestep,2,,,,
